filename,score,entropy
The shiny black motorcycle zoomed past the old rusty car._00000.png,0.0316,51.440269470214844
The shiny black motorcycle zoomed past the old rusty car._00000.png,0.0316,54.24525451660156
The green plant was on top of the wooden shelf._00000.png,0.897,65.72175598144531
The green plant was on top of the wooden shelf._00000.png,0.897,70.74762725830078
"The sleek, aerodynamic shape of the fighter jet sliced through the air, a machine of power and preci_00000.png",0.0463,89.18138122558594
"The sleek, aerodynamic shape of the fighter jet sliced through the air, a machine of power and preci_00000.png",0.0463,42.86758804321289
The square book was on top of the blue table._00000.png,0.0212,45.316917419433594
The square book was on top of the blue table._00000.png,0.0212,42.2440071105957
The bright yellow sunflower stood tall next to the soft green grass._00000.png,0.7356,58.986732482910156
"The sparkling, crystal chandeliers hung from the ornate ceiling of the grand ballroom, casting a war_00000.png",0.0164,56.975791931152344
"The sparkling, crystal chandeliers hung from the ornate ceiling of the grand ballroom, casting a war_00000.png",0.0164,48.525428771972656
The blue bowl was on top of the white placemat._00000.png,0.711,42.06515884399414
The blue bowl was on top of the white placemat._00000.png,0.711,53.112998962402344
The fresh omelet cooked the fluffy eggs and the crisp vegetables._00000.png,0.3277,87.52434539794922
The fresh omelet cooked the fluffy eggs and the crisp vegetables._00000.png,0.3277,98.45257568359375
The rough brown burlap sack lay next to the smooth white satin ribbon._00000.png,0.0824,72.8798599243164
The shiny silver watch ticked on the rough wooden nightstand._00000.png,0.1298,70.4002456665039
The shiny silver watch ticked on the rough wooden nightstand._00000.png,0.1298,65.59654998779297
"The sleek, streamlined silhouette of the greyhound was a picture of grace and speed._00000.png",0.0004,28.35942268371582
"The sleek, streamlined silhouette of the greyhound was a picture of grace and speed._00000.png",0.0004,19.648488998413086
"The jagged, towering cliffs loomed ominously over the rocky shoreline, their sheer faces weathered b_00000.png",0.3234,80.83039855957031
"The jagged, towering cliffs loomed ominously over the rocky shoreline, their sheer faces weathered b_00000.png",0.3234,102.693359375
"The delicate, intricate web of the spider glistened with dew drops in the early morning light, a mar_00000.png",0.0008,38.47343826293945
"The delicate, intricate web of the spider glistened with dew drops in the early morning light, a mar_00000.png",0.0008,33.772274017333984
The sleek black sports bike sped past the bright green trees._00000.png,0.0353,44.76615524291992
The sleek black sports bike sped past the bright green trees._00000.png,0.0353,48.982200622558594
The fresh flowers bloomed in the colorful garden and the gray vase._00000.png,0.3053,86.49969482421875
The fresh flowers bloomed in the colorful garden and the gray vase._00000.png,0.3053,95.718017578125
The soft pink petals of the cherry blossom contrasted with the rough brown bark._00000.png,0.4057,122.91485595703125
The soft pink petals of the cherry blossom contrasted with the rough brown bark._00000.png,0.4057,107.05863189697266
The hot yellow sunflower leaned next to the cool blue vase._00000.png,0.3505,51.73016357421875
The bright yellow banana contrasted with the dull brown apple._00000.png,0.336,57.9376106262207
The bright yellow banana contrasted with the dull brown apple._00000.png,0.336,55.49587631225586
The black suitcase was next to the brown briefcase._00000.png,0.7696,53.362709045410156
The black suitcase was next to the brown briefcase._00000.png,0.7696,70.59362030029297
The juicy burger sat on the soft bun and the crispy lettuce._00000.png,0.5024,102.75008392333984
The juicy burger sat on the soft bun and the crispy lettuce._00000.png,0.5024,68.8861312866211
The sweet red strawberry lay next to the tart green apple._00000.png,0.1264,47.885318756103516
"The bold, striking contrast of the black and white photograph captured the essence of the moment, a _00000.png",0.0008,23.19832420349121
"The bold, striking contrast of the black and white photograph captured the essence of the moment, a _00000.png",0.0008,22.999374389648438
The rectangular mirror was hung above the wooden shelf._00000.png,0.6451,55.522647857666016
The rectangular mirror was hung above the wooden shelf._00000.png,0.6451,58.91399002075195
"The glossy, spherical shape of the red apple was a symbol of temptation and healthful eating._00000.png",0.0074,20.76824951171875
"The glossy, spherical shape of the red apple was a symbol of temptation and healthful eating._00000.png",0.0074,21.92953109741211
The flickering fire lit up the cozy room and the dark night sky._00000.png,0.2579,31.518646240234375
The flickering fire lit up the cozy room and the dark night sky._00000.png,0.2579,33.955989837646484
The colorful balloons floated near the shiny silver airplane._00000.png,0.7261,53.9970703125
"The sharp, steel blades of the chef's knives sliced through the fresh, juicy vegetables with ease, c_00000.png",0.0158,53.0472297668457
"The sharp, steel blades of the chef's knives sliced through the fresh, juicy vegetables with ease, c_00000.png",0.0158,45.836849212646484
The square box was next to the circular canister._00000.png,0.706,39.9773063659668
The square box was next to the circular canister._00000.png,0.706,39.05164337158203
The smooth purple vase sat next to the tall white candlestick._00000.png,0.0465,55.141109466552734
The heavy traffic clogged the busy street and the quiet alleyway._00000.png,0.0252,96.23590087890625
The heavy traffic clogged the busy street and the quiet alleyway._00000.png,0.0252,104.53756713867188
"The smooth, cool surface of the river rocks were perfect for skipping across the water's surface._00000.png",0.4717,52.2841796875
"The smooth, cool surface of the river rocks were perfect for skipping across the water's surface._00000.png",0.4717,45.22065734863281
"The smooth, glossy finish of the ceramic vase accentuated the vibrant colors of the flowers, a stunn_00000.png",0.0725,56.807044982910156
"The smooth, glossy finish of the ceramic vase accentuated the vibrant colors of the flowers, a stunn_00000.png",0.0725,42.3300666809082
The blue water bottle was on top of the red backpack._00000.png,0.4786,43.10698318481445
The blue water bottle was on top of the red backpack._00000.png,0.4786,48.65884017944336
The striped rug was on top of the brown carpet._00000.png,0.23,38.13467788696289
The striped rug was on top of the brown carpet._00000.png,0.23,40.125606536865234
The smooth wooden surface reflected the bright light and the dark shade._00000.png,0.231,52.08307647705078
The smooth wooden surface reflected the bright light and the dark shade._00000.png,0.231,50.5252799987793
The silver fork was resting on the brown napkin._00000.png,0.8511,59.061100006103516
The silver fork was resting on the brown napkin._00000.png,0.8511,68.52438354492188
The fluffy pillows cushioned the tired head and the hard couch._00000.png,0.0318,76.80728149414062
The fluffy pillows cushioned the tired head and the hard couch._00000.png,0.0318,67.25660705566406
"The fluffy, white clouds floated lazily in the blue sky, like cotton candy in a fairytale._00000.png",0.0002,60.935768127441406
"The fluffy, white clouds floated lazily in the blue sky, like cotton candy in a fairytale._00000.png",0.0002,32.736724853515625
"The soft, gentle lullaby of the mother's voice calmed the crying baby, a soothing embrace of materna_00000.png",0.0136,68.75293731689453
"The soft, gentle lullaby of the mother's voice calmed the crying baby, a soothing embrace of materna_00000.png",0.0136,59.29035568237305
The sharp blue scissors cut through the thick white paper._00000.png,0.4716,27.27936363220215
The sharp blue scissors cut through the thick white paper._00000.png,0.4716,26.81220054626465
The rough bark scraped against the soft skin and the delicate flower._00000.png,0.1949,53.44208908081055
The rough bark scraped against the soft skin and the delicate flower._00000.png,0.1949,73.81861114501953
"The sleek, modern design of the smartphone made it a stylish accessory for the tech-savvy user._00000.png",0.3422,31.631174087524414
"The sleek, modern design of the smartphone made it a stylish accessory for the tech-savvy user._00000.png",0.3422,33.14622497558594
The smooth white marble statue stood in front of the rough grey wall._00000.png,0.0341,93.73934173583984
The smooth white marble statue stood in front of the rough grey wall._00000.png,0.0341,98.01268768310547
The comfortable recliner cradled the tired body and the hard floor._00000.png,0.0537,63.9576301574707
The comfortable recliner cradled the tired body and the hard floor._00000.png,0.0537,58.6887321472168
"The soft, warm glow of the candlelight cast a romantic ambiance over the room, a cozy retreat from t_00000.png",0.0382,67.85725402832031
"The soft, warm glow of the candlelight cast a romantic ambiance over the room, a cozy retreat from t_00000.png",0.0382,64.18856811523438
The bright blue bird perched on the rough brown branch._00000.png,0.5778,57.56435012817383
The bright blue bird perched on the rough brown branch._00000.png,0.5778,66.19438171386719
The red apple was next to the oval plate._00000.png,0.3382,33.76662826538086
The red apple was next to the oval plate._00000.png,0.3382,32.49977493286133
The soft blue sky contrasted with the sharp white clouds._00000.png,0.1156,22.838119506835938
The soft blue sky contrasted with the sharp white clouds._00000.png,0.1156,4.995926856994629
The striped rug was next to the brown couch._00000.png,0.2296,64.80524444580078
The striped rug was next to the brown couch._00000.png,0.2296,37.05806350708008
The red hat was on top of the brown coat._00000.png,0.0416,25.30341911315918
The red hat was on top of the brown coat._00000.png,0.0416,32.0786247253418
The soft pink pillow leaned against the hard wooden chair._00000.png,0.8247,66.83797454833984
The soft pink pillow leaned against the hard wooden chair._00000.png,0.8247,78.80545043945312
The flickering candle illuminated the cozy room and the dark corner._00000.png,0.5619,44.19464874267578
The flickering candle illuminated the cozy room and the dark corner._00000.png,0.5619,27.514013290405273
"The gentle, soothing melody of the piano filled the concert hall, as the pianist's fingers danced ov_00000.png",0.0076,59.63275909423828
"The gentle, soothing melody of the piano filled the concert hall, as the pianist's fingers danced ov_00000.png",0.0076,33.889488220214844
The soft bed sheets embraced the tired body and the hard mattress._00000.png,0.6112,55.786197662353516
The soft bed sheets embraced the tired body and the hard mattress._00000.png,0.6112,48.97901916503906
The black phone was resting on the silver charger._00000.png,0.643,43.7006950378418
The black phone was resting on the silver charger._00000.png,0.643,51.11317825317383
"The soft, fluffy clouds drifted lazily across the blue sky, a canvas of endless possibilities and im_00000.png",0.0,45.50200653076172
"The soft, fluffy clouds drifted lazily across the blue sky, a canvas of endless possibilities and im_00000.png",0.0,29.856834411621094
The soft pink rose petal fell onto the rough grey sidewalk._00000.png,0.2827,84.52942657470703
The soft pink rose petal fell onto the rough grey sidewalk._00000.png,0.2827,97.38551330566406
The cylindrical tube was nestled between the rectangular box and the conical funnel._00000.png,0.1486,19.912046432495117
The cylindrical tube was nestled between the rectangular box and the conical funnel._00000.png,0.1486,10.419060707092285
The oval plate was on top of the square placemat._00000.png,0.273,34.169578552246094
The oval plate was on top of the square placemat._00000.png,0.273,28.836091995239258
The translucent sphere floated near the opaque cube and the metallic hexagon._00000.png,0.1498,41.64767074584961
The pentagonal pyramid was balanced on the edge of the rough square and the rectangular prism._00000.png,0.003,35.25807189941406
The pentagonal pyramid was balanced on the edge of the rough square and the rectangular prism._00000.png,0.003,28.446796417236328
The graceful swan glided across the calm lake and the reedy marsh._00000.png,0.2207,42.50050354003906
The graceful swan glided across the calm lake and the reedy marsh._00000.png,0.2207,41.53364944458008
The smooth cube was nestled between the spherical sapphire and the angular ruby._00000.png,0.0347,29.90114402770996
The smooth cube was nestled between the spherical sapphire and the angular ruby._00000.png,0.0347,29.089670181274414
The fragrant candle burned on the smooth table and the textured shelf._00000.png,0.6579,58.88725280761719
The fragrant candle burned on the smooth table and the textured shelf._00000.png,0.6579,59.703372955322266
The round clock is next to the white picture frame._00000.png,0.4947,54.05096435546875
The round clock is next to the white picture frame._00000.png,0.4947,51.14803695678711
The soft yellow duckling swam next to the sleek black swan._00000.png,0.0257,41.154293060302734
"The fiery, blazing sun sank below the horizon, painting the sky with a spectrum of orange and red hu_00000.png",0.0029,36.47992706298828
The black phone was resting on the brown charger._00000.png,0.4834,37.36746597290039
The black phone was resting on the brown charger._00000.png,0.4834,40.404876708984375
The smooth silk gown flowed over the delicate skin and the rough floor._00000.png,0.0477,53.49271774291992
The smooth silk gown flowed over the delicate skin and the rough floor._00000.png,0.0477,64.28277587890625
The green plant was on the left of the white lamp._00000.png,0.0058,53.201171875
The green plant was on the left of the white lamp._00000.png,0.0058,44.803951263427734
The rough brown bark of the tree contrasted with the smooth green leaves._00000.png,0.5575,101.19831848144531
The rough brown bark of the tree contrasted with the smooth green leaves._00000.png,0.5575,81.92086791992188
The white shirt was on top of the blue pants._00000.png,0.8675,48.15237808227539
The white shirt was on top of the blue pants._00000.png,0.8675,50.568565368652344
The juicy red tomato lay next to the ripe orange pepper._00000.png,0.4826,61.22136306762695
"The delicate, intricate lacework of the wedding dress showcased the bride's beauty and elegance._00000.png",0.722,56.18267822265625
"The delicate, intricate lacework of the wedding dress showcased the bride's beauty and elegance._00000.png",0.722,67.16100311279297
The green plant was on the left of the yellow lamp._00000.png,0.2446,32.0645866394043
The green plant was on the left of the yellow lamp._00000.png,0.2446,28.134082794189453
The rough brown boots contrasted with the soft white snow._00000.png,0.7128,117.16452026367188
The rough brown boots contrasted with the soft white snow._00000.png,0.7128,72.712890625
The red apple was next to the yellow pear._00000.png,0.3212,38.74217224121094
The red apple was next to the yellow pear._00000.png,0.3212,29.885427474975586
The striped rug was on top of the tiled floor._00000.png,0.8562,37.813255310058594
The striped rug was on top of the tiled floor._00000.png,0.8562,49.998573303222656
"The smooth, glossy surface of the lake reflected the fiery colors of the sunset, a serene oasis of t_00000.png",0.0088,14.773755073547363
"The smooth, glossy surface of the lake reflected the fiery colors of the sunset, a serene oasis of t_00000.png",0.0088,25.679405212402344
"The sleek, streamlined shape of the airplane soared through the sky, a marvel of modern engineering._00000.png",0.3444,63.09944152832031
"The sleek, streamlined shape of the airplane soared through the sky, a marvel of modern engineering._00000.png",0.3444,62.6285514831543
The slimy green frog hopped onto the wet brown lily pad._00000.png,0.5355,41.053070068359375
The slimy green frog hopped onto the wet brown lily pad._00000.png,0.5355,51.69898986816406
The soft towel was on top of the hard counter._00000.png,0.9308,99.50831604003906
The soft towel was on top of the hard counter._00000.png,0.9308,56.36459732055664
"The cool, refreshing breeze blew through the open window, carrying the sweet scent of blooming flowe_00000.png",0.1234,43.51779556274414
"The cool, refreshing breeze blew through the open window, carrying the sweet scent of blooming flowe_00000.png",0.1234,49.487701416015625
"The soft, gentle touch of the therapist's hands provided healing relief to the injured athlete, a th_00000.png",0.052,65.23591613769531
"The soft, gentle touch of the therapist's hands provided healing relief to the injured athlete, a th_00000.png",0.052,75.78702545166016
The rectangular book was on top of the black shelf._00000.png,0.6987,40.27848434448242
The rectangular book was on top of the black shelf._00000.png,0.6987,35.79981231689453
"The jagged, rocky cliffs jutted out from the sea, battered by the crashing waves below._00000.png",0.6553,135.07177734375
"The jagged, rocky cliffs jutted out from the sea, battered by the crashing waves below._00000.png",0.6553,127.92667388916016
The black chair is on top of the blue rug._00000.png,0.451,69.9581527709961
The black chair is on top of the blue rug._00000.png,0.451,58.72647476196289
The soft fur coat draped over the hard armor and the sharp claws._00000.png,0.1348,79.3730239868164
The soft fur coat draped over the hard armor and the sharp claws._00000.png,0.1348,76.39274597167969
"The vibrant, multicolored feathers of the peacock fanned out in a brilliant display of natural elega_00000.png",0.0572,45.09552764892578
"The vibrant, multicolored feathers of the peacock fanned out in a brilliant display of natural elega_00000.png",0.0572,81.866943359375
The rough brown hiking boots contrasted with the smooth white snow._00000.png,0.1093,83.25592803955078
The rough brown hiking boots contrasted with the smooth white snow._00000.png,0.1093,69.25103759765625
"The smooth, white marble columns supported the grand entrance of the ancient temple, their intricate_00000.png",0.1508,63.572017669677734
"The smooth, white marble columns supported the grand entrance of the ancient temple, their intricate_00000.png",0.1508,62.684486389160156
The white shirt was on the black hanger._00000.png,0.7754,45.05569076538086
The white shirt was on the black hanger._00000.png,0.7754,35.7955322265625
The fluffy cat is on the left of the soft pillow._00000.png,0.0195,38.07731246948242
The fluffy cat is on the left of the soft pillow._00000.png,0.0195,48.146766662597656
"The silky, flowing fabric of the ballgown swirled around the dancer's feet, as she glided across the_00000.png",0.0087,56.1939582824707
"The silky, flowing fabric of the ballgown swirled around the dancer's feet, as she glided across the_00000.png",0.0087,91.67467498779297
The white shirt was on top of the black pants._00000.png,0.0009,47.64153289794922
The white shirt was on top of the black pants._00000.png,0.0009,41.4909553527832
The sizzling bacon cooked in the greasy pan and the crispy toast._00000.png,0.0377,76.32591247558594
The sizzling bacon cooked in the greasy pan and the crispy toast._00000.png,0.0377,105.64421081542969
The oval mirror is hung above the white sink._00000.png,0.8296,49.8324089050293
The oval mirror is hung above the white sink._00000.png,0.8296,59.28919219970703
The shiny silver ring sparkled on the rough wooden table._00000.png,0.0586,76.75186157226562
The shiny silver ring sparkled on the rough wooden table._00000.png,0.0586,82.42654418945312
The fragrant flowers bloomed on the sturdy stem and the thorny bush._00000.png,0.368,102.0498046875
The fragrant flowers bloomed on the sturdy stem and the thorny bush._00000.png,0.368,73.52845764160156
The square book was next to the green notebook._00000.png,0.6709,65.95806121826172
The square book was next to the green notebook._00000.png,0.6709,60.289737701416016
"The soft, warm glow of the campfire illuminated the faces of the hikers, as they roasted marshmallow_00000.png",0.0011,134.01580810546875
"The soft, warm glow of the campfire illuminated the faces of the hikers, as they roasted marshmallow_00000.png",0.0011,88.40599822998047
The smooth black leather jacket hung next to the rugged brown boots._00000.png,0.7096,75.31979370117188
The soft pink petals of the flower contrasted with the rough grey sidewalk._00000.png,0.4596,75.68766021728516
The soft pink petals of the flower contrasted with the rough grey sidewalk._00000.png,0.4596,69.1650390625
The soft pink blanket draped over the hard wooden chair._00000.png,0.8906,58.52421569824219
The soft pink blanket draped over the hard wooden chair._00000.png,0.8906,71.47879028320312
The sleek black cat sat next to the fluffy white pillow._00000.png,0.5418,42.85029602050781
The warm yellow light shone down on the colorful fruit market._00000.png,0.1893,78.78408813476562
The warm yellow light shone down on the colorful fruit market._00000.png,0.1893,20.797189712524414
The shiny silver watch ticked on the rough wooden table._00000.png,0.0602,83.01078033447266
The shiny silver watch ticked on the rough wooden table._00000.png,0.0602,83.19439697265625
The sweet honeycomb dripped on the crunchy toast and the soft cheese._00000.png,0.1348,85.47212219238281
The sweet honeycomb dripped on the crunchy toast and the soft cheese._00000.png,0.1348,72.07083892822266
The brown dog was lying on the green mat._00000.png,0.8988,35.897621154785156
The brown dog was lying on the green mat._00000.png,0.8988,46.18501663208008
The fluffy white clouds floated above the dark grey city skyline._00000.png,0.0791,55.4853401184082
The fluffy white clouds floated above the dark grey city skyline._00000.png,0.0791,62.855491638183594
"The intricate, winding labyrinth of the hedge maze was a challenging puzzle for the curious adventur_00000.png",0.1129,53.311500549316406
"The intricate, winding labyrinth of the hedge maze was a challenging puzzle for the curious adventur_00000.png",0.1129,52.37009048461914
The black camera was next to the white tripod._00000.png,0.6389,53.880985260009766
The black camera was next to the white tripod._00000.png,0.6389,41.375091552734375
The black headphones were next to the green phone._00000.png,0.058,52.79945755004883
The black headphones were next to the green phone._00000.png,0.058,54.13915252685547
The glossy apple sat next to the fuzzy peach and the prickly pear._00000.png,0.049,55.67715835571289
The sweet apple cider warmed the cold hands and the chilled glass._00000.png,0.0465,53.26523208618164
The sweet apple cider warmed the cold hands and the chilled glass._00000.png,0.0465,72.80303192138672
The red umbrella was on top of the white coat rack._00000.png,0.2798,30.268043518066406
The red umbrella was on top of the white coat rack._00000.png,0.2798,58.81433868408203
The soft blanket draped over the bumpy couch and the hard floor._00000.png,0.3846,65.94864654541016
The soft blanket draped over the bumpy couch and the hard floor._00000.png,0.3846,63.351802825927734
The flickering light bulb brightened the dark room and the dim hallway._00000.png,0.7803,41.74320983886719
The flickering light bulb brightened the dark room and the dim hallway._00000.png,0.7803,54.299434661865234
The prickly green cactus contrasted with the smooth white walls._00000.png,0.7912,31.5607967376709
The prickly green cactus contrasted with the smooth white walls._00000.png,0.7912,38.77293395996094
The brown boots were on top of the wooden shoe rack._00000.png,0.5691,72.01510620117188
The brown boots were on top of the wooden shoe rack._00000.png,0.5691,60.20071792602539
The green diamond was nestled between the blue cylinder and the yellow hexagon._00000.png,0.0578,28.490631103515625
The green diamond was nestled between the blue cylinder and the yellow hexagon._00000.png,0.0578,31.86791229248047
The sleek black briefcase sat on the clean white sofa._00000.png,0.3583,50.59465789794922
The sleek black briefcase sat on the clean white sofa._00000.png,0.3583,52.66719436645508
The striped rug was next to the wooden bench._00000.png,0.3502,64.385986328125
The striped rug was next to the wooden bench._00000.png,0.3502,55.161251068115234
The jagged zigzag was nestled between the curved line and the smooth curve._00000.png,0.225,28.939287185668945
The jagged zigzag was nestled between the curved line and the smooth curve._00000.png,0.225,20.206668853759766
The rectangular mirror was hung above the white sink._00000.png,0.9079,46.64351272583008
The rectangular mirror was hung above the white sink._00000.png,0.9079,40.896270751953125
"The smooth, rippled surface of the sand dunes undulated in the desert winds, a shifting landscape of_00000.png",0.4735,69.57171630859375
"The smooth, rippled surface of the sand dunes undulated in the desert winds, a shifting landscape of_00000.png",0.4735,59.188899993896484
The red book was on top of the yellow bookshelf._00000.png,0.1729,20.98694610595703
The red book was on top of the yellow bookshelf._00000.png,0.1729,22.70412826538086
"The jagged, rocky cliffs loomed above the crashing waves, a treacherous challenge for even the brave_00000.png",0.362,106.82243347167969
"The jagged, rocky cliffs loomed above the crashing waves, a treacherous challenge for even the brave_00000.png",0.362,124.5269546508789
The yellow pencil was next to the blue pen._00000.png,0.0704,31.061189651489258
The yellow pencil was next to the blue pen._00000.png,0.0704,37.47505187988281
The delicious ice cream melted on the crispy cone and the soft sprinkles._00000.png,0.5455,23.863346099853516
The delicious ice cream melted on the crispy cone and the soft sprinkles._00000.png,0.5455,32.3086051940918
The red mug was on top of the green coaster._00000.png,0.028,31.16999626159668
The red mug was on top of the green coaster._00000.png,0.028,41.45939254760742
"The warm, welcoming glow of the lanterns illuminated the bustling night market, as the vendors hawke_00000.png",0.1547,115.07420349121094
"The warm, welcoming glow of the lanterns illuminated the bustling night market, as the vendors hawke_00000.png",0.1547,103.20011901855469
The rectangular box was nestled between the cylindrical tube and the conical funnel._00000.png,0.1302,35.73015213012695
The rectangular box was nestled between the cylindrical tube and the conical funnel._00000.png,0.1302,27.605365753173828
The silver laptop was on top of the black desk._00000.png,0.5952,45.892826080322266
The silver laptop was on top of the black desk._00000.png,0.5952,41.61206817626953
The green plant is on top of the silver nightstand._00000.png,0.2685,53.573978424072266
The green plant is on top of the silver nightstand._00000.png,0.2685,61.34815979003906
The smooth silk dress flowed on the curvy body and the straight floor._00000.png,0.0115,65.31429290771484
The smooth silk dress flowed on the curvy body and the straight floor._00000.png,0.0115,57.09580612182617
The fluffy white cat slept on the warm fuzzy blanket._00000.png,0.8058,65.86920166015625
The fluffy white cat slept on the warm fuzzy blanket._00000.png,0.8058,66.16242218017578
"The smooth, curved lines of the sculpture flowed effortlessly from one form to the next, a beautiful_00000.png",0.0274,4.934866905212402
"The smooth, curved lines of the sculpture flowed effortlessly from one form to the next, a beautiful_00000.png",0.0274,7.885247230529785
"The sparkling, crystal-clear waters of the lake beckoned to the swimmers, the cool waves lapping at _00000.png",0.022,119.68292236328125
"The sparkling, crystal-clear waters of the lake beckoned to the swimmers, the cool waves lapping at _00000.png",0.022,88.96558380126953
"The smooth, polished surface of the marble statue gleamed in the sunlight, a symbol of timeless beau_00000.png",0.015,35.08490753173828
"The smooth, polished surface of the marble statue gleamed in the sunlight, a symbol of timeless beau_00000.png",0.015,39.812255859375
The blue mug is on top of the green coaster._00000.png,0.0427,37.381065368652344
The blue mug is on top of the green coaster._00000.png,0.0427,39.10954666137695
The sleek silver airplane flew above the fluffy white clouds._00000.png,0.3541,106.23909759521484
The sleek silver airplane flew above the fluffy white clouds._00000.png,0.3541,83.39743041992188
The shiny silver watch lay next to the smooth black leather wallet._00000.png,0.6315,61.699859619140625
The rough brick was on top of the smooth tile._00000.png,0.096,44.60856628417969
The rough brick was on top of the smooth tile._00000.png,0.096,40.460147857666016
The fluffy white cat snuggled up next to the warm brown blanket._00000.png,0.5314,62.28492736816406
The soft cotton candy melted on the warm tongue and the cool hand._00000.png,0.2023,4.767360687255859
The soft cotton candy melted on the warm tongue and the cool hand._00000.png,0.2023,7.430259704589844
The sleek black sports car drove past the bulky grey SUV._00000.png,0.3509,57.536170959472656
The sleek black sports car drove past the bulky grey SUV._00000.png,0.3509,91.21989440917969
The sleek fish swam through the murky water and the jagged coral._00000.png,0.2119,118.83707427978516
The sleek fish swam through the murky water and the jagged coral._00000.png,0.2119,118.31631469726562
The shiny diamond ring adorned the delicate finger and the rough hand._00000.png,0.0606,52.633583068847656
The shiny diamond ring adorned the delicate finger and the rough hand._00000.png,0.0606,53.775657653808594
The crisp green lettuce lay next to the juicy red tomato._00000.png,0.4314,51.13417053222656
"The twisted, gnarled roots of the old oak tree snaked through the rich soil, anchoring it firmly to _00000.png",0.4054,102.84163665771484
"The twisted, gnarled roots of the old oak tree snaked through the rich soil, anchoring it firmly to _00000.png",0.4054,76.2613525390625
"The smooth, rounded stones of the zen garden lay in perfect harmony with the raked sand, inviting me_00000.png",0.0182,66.78275299072266
"The smooth, rounded stones of the zen garden lay in perfect harmony with the raked sand, inviting me_00000.png",0.0182,67.47682189941406
The round clock was on the left of the rectangular picture frame._00000.png,0.5319,44.902801513671875
The round clock was on the left of the rectangular picture frame._00000.png,0.5319,45.35792541503906
"The sharp, pungent aroma of the freshly brewed coffee woke up the senses, a daily ritual of energy a_00000.png",0.0107,36.909454345703125
"The sharp, pungent aroma of the freshly brewed coffee woke up the senses, a daily ritual of energy a_00000.png",0.0107,31.414155960083008
The green plant was on the right of the white wall._00000.png,0.1205,24.672372817993164
The green plant was on the right of the white wall._00000.png,0.1205,24.798513412475586
The sharp red apple contrasted with the soft green pear._00000.png,0.2448,43.58518981933594
The sharp red apple contrasted with the soft green pear._00000.png,0.2448,29.25848960876465
The rectangular mirror was hung above the black dresser._00000.png,0.3663,60.07765579223633
The rectangular mirror was hung above the black dresser._00000.png,0.3663,58.44519805908203
"The smooth, polished surface of the marble countertop gleamed in the sunlight, a luxurious material _00000.png",0.1364,32.912288665771484
"The smooth, polished surface of the marble countertop gleamed in the sunlight, a luxurious material _00000.png",0.1364,44.8939208984375
The green plant was next to the white vase._00000.png,0.1365,50.639583587646484
The green plant was next to the white vase._00000.png,0.1365,61.331058502197266
"The soft, pillowy texture of the fresh bread contrasted with the crisp, crunchy exterior, a delectab_00000.png",0.3136,72.25326538085938
"The soft, pillowy texture of the fresh bread contrasted with the crisp, crunchy exterior, a delectab_00000.png",0.3136,94.06795501708984
The bright orange construction cones marked the rough asphalt road._00000.png,0.0889,84.01592254638672
The bright orange construction cones marked the rough asphalt road._00000.png,0.0889,66.97766876220703
The blue book was on top of the red bookshelf._00000.png,0.3827,32.58516311645508
The blue book was on top of the red bookshelf._00000.png,0.3827,35.97932434082031
"The plump, red cherries hung low on the branches, ripe and ready for picking by eager hands._00000.png",0.0266,90.50566101074219
"The plump, red cherries hung low on the branches, ripe and ready for picking by eager hands._00000.png",0.0266,80.70977020263672
The sharp black cat clawed at the soft red blanket._00000.png,0.4222,36.82489776611328
The sharp black cat clawed at the soft red blanket._00000.png,0.4222,40.92693328857422
The glowing moon rose above the distant hill and the calm sea._00000.png,0.1639,15.695606231689453
The glowing moon rose above the distant hill and the calm sea._00000.png,0.1639,22.991092681884766
The black sofa was on the left of the white coffee table._00000.png,0.5062,51.81477737426758
The black sofa was on the left of the white coffee table._00000.png,0.5062,36.244571685791016
The sleek black dress hung on the clean white hanger._00000.png,0.2987,50.927059173583984
The sleek black dress hung on the clean white hanger._00000.png,0.2987,49.73695373535156
